issueid,dekaid,year,category,issueno,lawids,fact,decision,isact,isexternalelements,isinternalelement,isintent,isneglect,iscause,isjustify,isexcuse,isguilty,isattempt,isattemptimpossible
232,2406 - 2407/2519,2519,LB,2,CC-295-00,เจ้าพนักงานตำรวจได้ข่มขืนใจผู้เสียหายให้มอบเงินแก่ตน 500 บาท โดยกล่าวหาว่าเล่นการพนัน เมื่อผู้เสียหายขอให้เพียง 100 บาทก็ไม่พอใจ ทำร้ายผู้เสียหายและแกล้งจับโดยไม่มีอำนาจนำไปส่งสถานีตำรวจ,"เช่นนี้ เป็นความผิดตามประมวลกฎหมายอาญา มาตรา 148,337 วรรคสอง,309 วรรคสอง และ295 โดยสำหรับความผิดต่อเสรีภาพตามมาตรา 309และความผิดฐานกรรโชกตามมาตรา 337 นั้น เมื่อผู้ถูกข่มขืนใจยอมเช่นว่านั้นแล้ว แม้จะยอมไม่เต็มตามที่ถูกเรียกร้องก็เป็นความผิดสำเร็จ ส่วนความผิดต่อตำแหน่งหน้าที่ราชการตามมาตรา 148เพียงแต่ผู้กระทำผิดมีเจตนาจะให้เขาส่งมอบทรัพย์สินให้ก็เป็นความผิดสำเร็จแล้ว แม้ผู้ถูกข่มขืนใจจะไม่ยอมตามนั้นก็ตาม",1,1,1,1,-1,1,0,0,1,0,-1
233,2688/2530,2530,P,1,CC-337-00,จำเลยเชื่อโดยสุจริตว่าผู้เสียหายได้ลักเอาสติกเกอร์ของห้างซึ่งจำเลยมีหน้าที่ช่วยดูแลกิจการอยู่ไป การที่จำเลยบอกให้ผู้เสียหายเสียค่าปรับให้ห้าง 30 บาท ถ้าไม่ยอมจะส่งตัวให้เจ้าพนักงานตำรวจนั้ น<discr>ยังถือไม่ได้ว่าเป็นการข่มขืนใจหรือขู่เข็ญผู้เสียหายให้ยอมให้เงิน 30 บาทเพราะจำเลยมีหน้าที่ดูแลกิจการของห้างชอบที่จะใช้สิทธิตามกฎหมายดำเนินคดีแก่ผู้เสียหายทางอาญาในความผิดฐานลักทรัพย์ได้ การที่จำเลยให้ผู้เสียหายเสียค่าปรับเท่ากับเสนอให้ชดใช้ค่าเสียหายอันเป็นข้อแลกเปลี่ยนเพื่อตกลงเลิกคดีกัน</discr>,จำเลยไม่มีความผิดฐานกรรโชก,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
234,887/2518,2518,LB,1,CC-295-00,การที่จำเลยที่ 1 ที่ 2 ตกลงจ้างพวกผู้เสียหายซึ่งเป็นชาวอีสานให้เป็นคนงานทำหน้าที่ปลูกมันสำปะหลังและอ้อยตัดอ้อย และดายหญ้าในไร่ของจำเลย แล้วพวกจำเลยควบคุมบังคับพวกผู้เสียหายตลอดเวลามิให้ไปไหนมาไหนโดยอิสระกักขังให้หลับนอนในเรือนพักภายในไร่ มีกลอนและโซ่คล้องใส่กุญแจไว้ภายนอกห้อง หากต้องการออกไปถ่ายอุจจาระปัสสาวะก็ต้องขออนุญาต และมียามคอยเฝ้าคุมอยู่ตลอดเวลา เมื่อทำงานล่าช้าก็จะถูกตีเตะทำร้ายทั้งถูกขู่เข็ญมิให้หลบหนี มิฉะนั้นจะถูกยิง ,ดังนี้ การกระทำของจำเลยเป็นความผิดฐานหน่วงเหนี่ยวกักขังผู้อื่นให้ปราศจากเสรีภาพในร่างกายตามประมวลกฎหมายอาญา มาตรา 310 และสำหรับจำเลยที่ทำร้ายร่างกายพวกผู้เสียหายย่อมมีความผิดฐานทำร้ายร่างกายด้วย,1,1,1,1,-1,1,0,0,1,0,-1
235,877/2501,2501,P,1,CC-334-00,การลักกระแสไฟฟ้า ,ย่อมเป็นผิดตามประมวลกฎหมายอาญา มาตรา 334 หรือ 335 แล้วแต่กรณี (ประชุมใหญ่ครั้งที่8/2501),1,1,1,1,-1,-1,0,0,1,0,-1
236,1463/2503,2503,P,1,CC-334-00,จำเลยทำอุบายขอน้ำดื่มจากเจ้าของร้านรับฝากรถจักรยานเมื่อเขาเผลอก็ลอบหยิบบัตรคู่หนึ่งของเจ้าของร้านแล้วเอาบัตรนั้นใบหนึ่งไปแขวนไว้ที่รถจักรยานโดยเอาบัตรเลขอื่นที่แขวนอยู่เดิมออกเสีย แล้วต่อมาก็เอาบัตรคู่กันอีกใบหนึ่งมาขอรับรถจักรยาน เขาไม่ยอมให้เพราะเห็นว่าไม่ใช่ผู้ฝากรถ ก็กล่าวเท็จแสดงว่าเพื่อนให้เอาบัตรมารับรถเพราะเปลี่ยนรถกันขี่ เขาจึงยอมให้รถไป ,ดังนี้ เป็นความผิดฐานลักทรัพย์โดยใช้กลอุบาย มิใช่ฉ้อโกง,1,1,1,1,-1,-1,0,0,1,0,-1
237,1463/2503,2503,P,2,CC-341-00,จำเลยทำอุบายขอน้ำดื่มจากเจ้าของร้านรับฝากรถจักรยานเมื่อเขาเผลอก็ลอบหยิบบัตรคู่หนึ่งของเจ้าของร้านแล้วเอาบัตรนั้นใบหนึ่งไปแขวนไว้ที่รถจักรยานโดยเอาบัตรเลขอื่นที่แขวนอยู่เดิมออกเสีย แล้วต่อมาก็เอาบัตรคู่กันอีกใบหนึ่งมาขอรับรถจักรยาน เขาไม่ยอมให้เพราะเห็นว่าไม่ใช่ผู้ฝากรถ ก็กล่าวเท็จแสดงว่าเพื่อนให้เอาบัตรมารับรถเพราะเปลี่ยนรถกันขี่ เขาจึงยอมให้รถไป ,ดังนี้ เป็นความผิดฐานลักทรัพย์โดยใช้กลอุบาย มิใช่ฉ้อโกง,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
238,216/2509,2509,P,1,CC-339-00,จำเลยยอมให้ผู้เสียหายร่วมประเวณีมีสิ่งตอบแทน แต่ผู้เสียหายผิดข้อตกลงจำเลยไม่พอใจ จึงได้ทำร้ายผู้เสียหายแล้วเอาปืนผู้เสียหายไปทิ้งที่ปรักน้ำกลางทุ่งนาเพราะกลัวผู้เสียหายจะยิงเอา <discr>การเอาปืนไปทิ้งน้ำโดยไม่นำเอาไปเป็นประโยชน์ส่วนตนหรือผู้อื่น แสดงว่าจำเลยไม่มีเจตนาประสงค์จะเอาทรัพย์</discr>  ส่วนไฟฉายนั้นผู้เสียหายก็ให้จำเลยไปส่องทาง ,การเอาปืนของผู้เสียหายไปทิ้งจึงไม่มีความผิดฐานชิงทรัพย์ จำเลยเอาไฟฉายไปไม่มีความผิดฐานชิงทรัพย์เช่นเดียวกัน,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
239,1403/2510,2510,P,1,"CC-335-00,CC-083-00",คนร้าย 3 คนร่วมกันลักรถยนต์จี๊ป โดยคนหนึ่งทำหน้าที่ขับรถ กำลังต่อสายไฟให้เครื่องยนต์ติด อีกสองคนช่วยกันเข็นรถเพื่อให้เครื่องยนต์ติด รถเคลื่อนไป 3 เมตร แต่เครื่องยนต์ไม่ติด และเจ้าพนักงานตำรวจพบการกระทำผิดเสียก่อน ,ดังนี้ ถือได้ว่าคนร้ายนำรถยนต์เคลื่อนที่ไปแล้ว พ้นขั้นพยายาม เป็นความผิดสำเร็จ,1,1,1,1,-1,-1,0,0,1,0,-1
240,2074/2514,2514,P,1,CC-335-00,จำเลยเข้าไปในห้องรับแขกเพื่อลักทรัพย์ตัดสายโทรทัศน์ออกแล้วยกเอาเครื่องรับโทรทัศน์ที่ตั้งอยู่บนโต๊ะเคลื่อนจากที่ตั้งเดิมมาที่กลางห้อง เผอิญผู้เสียหายมาพบเข้าจำเลยจึงวางไว้ที่พื้นห้อง,ก็ถือได้ว่าเอาทรัพย์ไปแล้ว เป็นความผิดลักทรัพย์สำเร็จไม่ใช่พยายามลักทรัพย์,1,1,1,1,-1,-1,0,0,1,0,-1
241,1446/2513,2513,LB,1,"CC-288-00,CC-080-00",ผู้เสียหายรู้ตัวล่วงหน้าว่าจำเลยจะมายิงจึงย้ายจากห้องที่เคยนอนไปนอนที่ระเบียงจำเลยใช้ปืนแก๊ปยิงไปตรงที่ที่ผู้เสียหายเคยนอน กระสุนปืนจึงไม่ถูกผู้เสียหาย <discr>เช่นนี้ถือว่า ผู้เสียหายรู้ตัวและหลบไปโดยบังเอิญ อีกประการหนึ่งเมื่อผู้เสียหายยังคงอยู่ในเรือน กระสุนปืนก็อาจถูกผู้เสียหายได้</discr>,การกระทำของจำเลยจึงมิใช่เป็นเรื่องที่ไม่สามารถบรรลุผลได้โดยแน่แท้ เพราะเหตุแห่งวัตถุที่มุ่งหมายกระทำต่อตามประมวลกฎหมายอาญา มาตรา 81 แต่เป็นความผิดตามประมวลกฎหมายอาญา มาตรา 288 ประกอบมาตรา 80,1,1,1,1,-1,1,0,0,1,1,0
242,3543/2526,2526,LB,1,"CC-288-00,CC-080-00",บ้านของผู้เสียหายเป็นบ้านไม้ชั้นเดียวยกพื้นสูง 2 เมตรจำเลยยิงปืนไปที่ห้องนอน ป. บุตรผู้เสียหายเพราะเชื่อว่าผู้เสียหายนอนอยู่ในห้องนั้น กระสุนปืนถูกที่ฝาบ้านสูงจากพื้นบ้าน 1 เมตร <discr>ดังนี้ แม้ขณะที่จำเลยยิง ผู้เสียหายและ ป. มิได้นอนอยู่ในห้องโดยลุกจากที่ที่ตนนอนมาแอบดูจำเลยที่หน้าต่างและฝาบ้าน การกระทำของจำเลยก็เป็นการยิงผู้เสียหายโดยเจตนาฆ่าซึ่งกระทำไปตลอดแล้วแต่ไม่บรรลุผล</discr> ,จึงเป็นความผิดฐานพยายามฆ่าผู้เสียหาย,1,1,1,1,-1,1,0,0,1,1,0
243,69/2554,2554,LB,1,"CC-288-00,CC-080-00",จำเลยใช้อาวุธปืนยิงเข้าไปในห้องที่ผู้เสียหายนอนอยู่ กระสุนปืนถูกที่แขนของผู้เสียหาย กระดูกต้นแขนซ้ายหัก <discr>จำเลยย่อมเล็งเห็นได้ว่าอาวุธปืนดังกล่าวเป็นอาวุธร้ายแรงสามารถใช้ยิงคนถึงแก่ความตายได้ แม้จะยิงผ่านฝาหรือประตูห้องเข้าไปถ้าถูกอวัยวะที่สำคัญก็ถึงแก่ความตายได้ เมื่อกระสุนปืนไม่ถูกอวัยวะสำคัญและผู้เสียหายไม่ถึงแก่ความตาย</discr> ,จำเลยจึงมีความผิดฐานพยายามฆ่าผู้เสียหาย,1,1,1,1,-1,1,0,0,1,1,0
244,207/2540,2540,LB,1,"CC-288-00,CC-081-00",อาวุธปืนที่จำเลยใช้ยิงเป็นอาวุธปืนแก๊ปยาว โดยปกติการใช้อาวุธปืนดังกล่าว ปัจจัยสำคัญที่จะทำให้กระสุนปืนลั่นออกได้คือแก๊ปสำหรับจุดระเบิดหากไม่มีการใส่แก๊ปก็ไม่สามารถทำให้กระสุนปืนลั่นออกได้เลย แม้จำเลยจะได้ใช้อาวุธปืนแก๊ปยาวยิงผู้เสียหายโดยมีเจตนาฆ่า แต่ข้อเท็จจริงฟังไม่ได้ว่า อาวุธปืนที่จำเลยใช้ยิงมีการใส่แก๊ปปืนไว้แล้ว <discr>ดังนี้กระสุนปืนจึงไม่อาจลั่นออกได้อย่างแน่นอนการกระทำของจำเลยจึงเป็นการกระทำที่ไม่สามารถบรรลุผลได้อย่างแน่แท้เพราะเหตุปัจจัยซึ่งใช้ในการกระทำ</discr> ,เป็นความผิดฐานพยายามฆ่าผู้อื่นตามประมวลกฎหมายอาญา มาตรา 288 ประกอบมาตรา 81 วรรคหนึ่ง,1,1,1,1,-1,1,0,0,1,1,1
245,2249/2554,2554,LB,1,"CC-288-00,CC-081-00",ผู้เสียหายให้การไว้ในชั้นสอบสวนว่า จำเลยใช้อาวุธปืนยิงผู้เสียหาย 2 นัด ในระยะห่างเพียงประมาณ 1 เมตร ซึ่งเป็นระยะใกล้ แต่ตามใบรับรองแพทย์ แพทย์ผู้ตรวจรักษาผู้เสียหายวินิจฉัยว่า ผู้เสียหายมีบาดแผลถูกยิงและถูกทำร้ายร่างกายบริเวณคอ ศรีษะ และใบหน้า แต่ไม่ปรากฏว่าบาดแผลดังกล่าวมีขนาดและความลึกเท่าใด หรือแพทย์มีความเห็นว่า หากผู้เสียหายไม่ได้รับการรักษาบาดแผลทันท่วงที ผู้เสียหายจะถึงแก่ความตายหรือไม่ ทั้งแพทย์มีความเห็นว่า ผู้เสียหายควรหยุดงานเพียง 8 วัน แม้จะได้ความจากผู้เสียหายว่า แพทย์ต้องผ่าตัดเอาหัวกระสุนปืนออกจากบริเวณท้ายทอยของผู้เสียหาย แต่ผู้เสียหายก็พักรักษาตัวอยู่ที่โรงพยาบาลประมาณ 6 วัน เท่านั้น <discr>เชื่อได้ว่าบาดแผลที่ผู้เสียหายได้รับไม่รุนแรงนัก การที่จำเลยใช้อาวุธปืนยิงผู้เสียหายในระยะใกล้แต่ผู้เสียหายไม่ได้รับอันตรายร้ายแรง แสดงว่าอาวุธปืนที่จำเลยใช้ยิงไม่มีประสิทธิภาพ ไม่สามารถทำให้ถึงแก่ความตายได้</discr> ,ถือว่าการกระทำความผิดฐานพยายามฆ่าผู้อื่นของจำเลยไม่สามารถบรรลุผลได้อย่างแน่แท้ เพราะเหตุปัจจัยซึ่งใช้ในการกระทำตาม ป.อ. มาตรา 81 วรรคหนึ่ง,1,1,1,1,-1,1,0,0,1,1,1
246,4367/2544,2544,LB,1,"CC-288-00,CC-081-00",จำเลยใช้อาวุธปืนเล็งยิงผู้เสียหายในระยะกระชั้นชิด<discr>แสดงว่าจำเลยมีเจตนาฆ่า</discr> แต่อาวุธปืนนั้นมีสภาพชำรุดใช้การไม่ได้เพราะระบบลั่นไกชำรุด จึงไม่สามารถใช้ยิงผู้เสียหายให้ถึงแก่ความตายได้,กรณีต้องด้วยประมวลกฎหมายอาญามาตรา 81,1,1,1,1,-1,1,0,0,1,1,1
247,783/2513,2513,LB,1,"CC-288-00,CC-080-00",จำเลยใช้ปืนยิงผู้เสียหาย ปรากฏว่ากระสุนปืนที่จำเลยใช้ยิงนั้นเป็นกระสุนปืนด้านใช้ยิงไม่ได้ แต่จำเลยเข้าใจว่ายังคงใช้ได้จึงใช้ยิงผู้เสียหาย ถึงแม้ข้อเท็จจริงฟังได้ว่ากระสุนของกลางนัดนี้เคยใช้ยิงมาก่อนแล้ว 3 ครั้ง กระสุนด้าน จำเลยนำมาใช้ยิงครั้งนี้อีกเป็นครั้งที่ 4กระสุนก็ด้านอีก <discr>ย่อมเห็นได้ว่าการที่จำเลยนำกระสุนด้านดังกล่าวมาใช้ยิงผู้เสียหายและกระสุนยังคงด้านไม่ระเบิดออกนั้น เป็นแต่เพียงการที่เป็นไปไม่ได้โดยเผอิญ หาเป็นการแน่แท้ว่าจะไม่สามารถทำให้ผู้ถูกยิงได้รับอันตรายจากการยิงของจำเลยเช่นนั้นไม่ </discr>,การกระทำของจำเลยจึงไม่เข้าลักษณะพยายามกระทำความผิดตามประมวลกฎหมายอาญา มาตรา 81 กรณีต้องปรับด้วยประมวลกฎหมายอาญา มาตรา 80,1,1,1,1,-1,1,0,0,1,1,0
248,2894/2555,2555,LB,1,"CC-288-00,CC-080-00",ผู้ตรวจพิสูจน์อาวุธปืนให้การไว้ในชั้นสอบสวนว่า อาวุธปืนแก๊ปของกลางเป็นอาวุธที่สามารถทำอันตรายแก่ชีวิตและวัตถุได้ การที่กระสุนปืนไม่ลั่นเมื่อสับนกปืนนั้นสามารถเกิดขึ้นกับอาวุธปืนได้ หากดินปืนมีความชื้นหรือเปียกชื้น เพราะประกายไฟซึ่งเกิดจากนกปืนสับไปที่แก๊ปปืนไม่สามารถลุกลามไปติดเนื้อดินปืนในลำกล้องเพื่อส่งเม็ดตะกั่วที่บรรจุอยู่ออกไปทางปากกระบอกปืนได้ แสดงว่าในวันเกิดเหตุหากดินปืนที่บรรจุอยู่ในลำกล้องอาวุธปืนของกลางแห้ง ไม่เปียกชื้น กระสุนปืนก็ต้องลั่นส่งเม็ดตะกั่วที่บรรจุอยู่ในลำกล้องออกมาใส่ใบหน้าผู้เสียหายเป็นอันตรายต่อชีวิตได้ ,การกระทำของจำเลยจึงเป็นการลงมือกระทำความผิดไปตลอดแล้ว แต่การกระทำไม่บรรลุผลอันเป็นการพยายามกระทำความผิดตาม ป.อ. มาตรา 80 หาใช่การกระทำนั้นไม่สามารถจะบรรลุผลได้อย่างแน่แท้ เพราะอาวุธปืนหรือเครื่องกระสุนปืนของกลางอันเป็นปัจจัยซึ่งใช้ในการกระทำตามมาตรา 81 แต่อย่างใดไม่,1,1,1,1,-1,1,0,0,1,1,0
249,3502/2548,2548,LB,1,"CC-289(4)-00,CC-081-00",จำเลยโกรธผู้เสียหายเนื่องจากถูกทวงเงินค่าน้ำมันแล้วขับขี่รถจักรยานยนต์เสียงดังใส่หน้าผู้เสียหาย ต่อมาประมาณ 30 นาที จึงกลับมาใช้อาวุธปืนแก๊ปยิงผู้เสียหาย <discr>กรณีไม่ใช่เกิดโทสะแล้วยิงผู้เสียหายทันที หากแต่เกิดโทสะและออกจากที่เกิดเหตุแล้วประมาณ 30 นาที ซึ่งมีเวลาที่จะคิดไตร่ตรอง ถือว่ามีเจตนาผู้อื่นโดยไตร่ตรองไว้ก่อน</discr> แต่เมื่อจำเลยยิงผู้เสียหายในระยะห่าง 20 เมตร กระสุนปืนถูกบริเวณคอด้านหน้าขวาและบริเวณชายโครงขวาด้านหน้าทั้งสองแห่งมีบาดแผลขนาด 0.5 เซนติเมตร ไม่มีความลึก รักษาหายภายใน 7 วัน <discr>แสดงว่ากระสุนปืนไม่มีความรุนแรงพอที่จะทำให้ถึงแก่ความตายได้อย่างแน่แท้ เพราะเหตุอาวุธปืนซึ่งเป็นปัจจัยที่ใช้ในการกระทำความผิด</discr>,จึงเป็นการกระทำความผิดตามประมวลกฎหมายอาญา มาตรา 289 (4) ประกอบมาตรา 81 วรรคหนึ่ง,1,1,1,1,-1,1,0,0,1,1,1
250,2999/2530,2530,LB,1,"CC-288-00,CC-081-00",จำเลยใช้ลูกระเบิดขว้างพยายามฆ่าผู้เสียหาย แต่ลูกระเบิดไม่ระเบิดเพราะชนวนเสื่อมคุณภาพ <discr>เป็นกรณีที่ลูกระเบิดไม่มีคุณสมบัติที่จะเป็นวัตถุแห่งการกระทำผิดได้ และมิใช่เป็นเรื่องที่เป็นไปไม่ได้โดยเหตุบังเอิญ แต่เป็นเรื่องที่ไม่อาจบรรลุผลได้อย่างแน่แท้เพราะเหตุปัจจัยซึ่งใช้ในการกระทำ</discr>,จำเลยจึงมีความผิดตามประมวลกฎหมายอาญา มาตรา 288ประกอบด้วยมาตรา 81,1,1,1,1,-1,1,0,0,1,1,1
251,3153/2557,2557,P,1,"CC-335-02,CC-081-00","โจทก์ฟ้องและนำสืบว่า จำเลยบุกรุกเข้าไปในบ้านของผู้เสียหาย แล้วลักเงิน 20,000 บาท ซึ่งอยู่ในกระเป๋าสะพายของผู้เสียหายไป ข้อเท็จจริงได้ความว่า จำเลยเข้าไปในบ้านของผู้เสียหายโดยไม่ได้รับอนุญาต แล้วรื้อค้นลิ้นชักพลาสติกที่เชิงบันได โดยเมื่อค้นในลิ้นชักอันบนสุดพบกระเป๋าสะพายและกระเป๋าสตางค์ใบเล็ก จำเลยก็ดึงออกมาจากลิ้นชักแล้วค้นหาสิ่งของในกระเป๋าสะพายและกระเป๋าสตางค์ดังกล่าว จากนั้นจำเลยเดินขึ้นบันไดไปบนระเบียงชั้นบนของบ้านและค้นหาสิ่งของที่กองเครื่องมือของใช้ที่วางอยู่บนระเบียงเป็นเวลานาน แล้วกลับลงไปรื้อค้นหาสิ่งของที่ลิ้นชักพลาสติกชั้นอื่นทุกลิ้นชัก <discr>เห็นได้ว่า จำเลยมีเจตนาค้นหาเงินและของมีค่าอื่นในจุดที่จำเลยคาดว่าผู้เสียหายหรือบุคคลในครอบครัวผู้เสียหายน่าจะเก็บหรือซุกซ่อนไว้ ฟังได้ว่ามีเจตนาค้นหาและประสงค์จะลักเงินของผู้เสียหายไปนั่นเอง ถือว่าจำเลยได้ลงมือกระทำความผิดและกระทำไปตลอดแล้ว แต่การกระทำไม่บรรลุผลเพราะไม่มีเงินที่จะลักอยู่ในกระเป๋าสะพายและจุดรื้อค้น</discr>",การกระทำของจำเลยจึงเป็นการพยายามลักเงินของผู้เสียหาย แต่การกระทำไม่อาจบรรลุผลได้อย่างแน่แท้เพราะเหตุวัตถุที่มุ่งหมายกระทำต่อ เป็นการพยายามกระทำความผิดฐานลักทรัพย์ในเคหสถานตาม ป.อ. มาตรา 335 (8) วรรคแรก ประกอบมาตรา 81,1,1,1,1,-1,-1,0,0,1,1,1
252,2400/2529,2529,LB,1,"CC-288-00,CC-081-00",จำเลยใช้อาวุธปืนยิงผู้เสียหายในระยะห่าง 1 - 2 เมตร กระสุนปืนถูกผู้เสียหายที่ราวนมซ้ายบาดแผลขนาด 1 X 1 เซนติเมตร รอบ ๆ บาดแผลมีรอยถลอกเล็ก ๆ หลายแผล รักษาหายภายใน 14 วัน ผลการเอกซเรย์ไม่พบโลหะในร่างกายของผู้เสียหาย แพทย์ผู้ทำการตรวจชันสูตรบาดแผลของผู้เสียหายสันนิษฐานว่ากระสุนปืนทำขึ้นเอง ความเร็วต่ำ ไม่อาจทำอันตรายถึงแก่ความตายได้ ทั้งไม่ได้ความว่าถ้ารักษาไม่ทันอาจถึงแก่ความตายได้ แสดงว่าอาวุธปืนที่จำเลยใช้ยิงไม่อาจทำให้ผู้เสียหายถึงตายได้,ถือว่าการกระทำของจำเลยไม่สามารถบรรลุผลได้อย่างแน่แท้ เพราะปัจจัยที่ใช้ในการกระทำผิดตามประมวลกฎหมายอาญา มาตรา 81,1,1,1,1,-1,1,0,0,1,1,1
253,1560/2529,2529,LB,1,"CC-288-00,CC-081-00",จำเลยใช้ปืนยิง ร. ในระยะใกล้เพียง 1 วา กระสุนปืนถูก ร.ลึกฝังใต้ผิวหนังรักษา 10 วันหาย และกระสุนปืนพลาดไปถูก ช.บาดแผลผิวหนังฉีกขาดตื้นรักษา 5 วันหาย ไม่ได้ความจากแพทย์ว่า ถ้ารักษาไม่ทันอาจถึงแก่ความตายได้ <discr>แสดงว่าอาวุธปืนที่จำเลยใช้ยิงไม่อาจทำให้ผู้ถูกยิงถึงตายได้</discr> ,ถือว่าจำเลยมุ่งประสงค์จะฆ่า แต่ปืนอันเป็นปัจจัยในการที่จำเลยใช้ยิงไม่บรรลุผลอย่างแน่แท้ ต้องด้วยประมวลกฎหมายอาญา มาตรา 81,1,1,1,1,-1,1,0,0,1,1,1
254,107/2510,2510,LB,1,"CC-288-00,CC-081-00",จำเลยใช้ปืนยิงผู้เสียหายในระยะใกล้เพียงวาเดียวบาดแผลเป็นวงกลมเส้นผ่าศูนย์กลางประมาณ 1 เซ็นติเมตรบริเวณรอบๆ แผลเป็นรอยบวม บาดแผลไม่ลึกเนื่องจากติดกับกระดูกหน้าแข้งและที่หน้าแข้งที่ตรงกับแผลได้บุ๋มเข้าไปเพียงเล็กน้อยบาดแผลนี้รักษาอยู่ 4 วันก็กลับบ้านได้ <discr>แสดงว่าบาดแผลมีเพียงเล็กน้อยเท่านั้นซึ่งเห็นว่าปืนที่จำเลยใช้ยิงมีกำลังน้อยมาก</discr>,"ดังนี้ ความผิดของจำเลยจึงต้องปรับด้วยประมวลกฎหมายอาญา มาตรา 81 โดยถือว่าจำเลยมุ่งต่อผล ซึ่งกฎหมายบัญญัติเป็นความผิด แต่ไม่สามารถบรรลุผลได้อย่างแน่แท้ เพราะเหตุปัจจัยซึ่งใช้ในการกระทำผิดจำเลยย่อมมีความผิดตามประมวลกฎหมายอาญา มาตรา 288, 81",1,1,1,1,-1,1,0,0,1,1,1
255,281/2517,2517,LB,1,"CC-288-00,CC-081-00",จำเลยยิงผู้เสียหายในระยะห่าง 2 วา มีบาดแผลบริเวณใบหน้าและหัวไหล่ขวา ขนาดเส้นผ่าศูนย์กลางประมาณ 3 มิลลิเมตร แผลที่ใบหน้ามี 12 แผล มีเลือดซึมเล็กน้อย และที่หัวไหล่มี 7 แผลบาดแผลแต่ละแห่งมีกระสุนเส้นผ่าศูนย์กลางประมาณ 2 มิลลิเมตรฝังใต้ผิวหนัง แพทย์ลงความเห็นว่าอาจจะหายภายใน 10-14 วันผู้เสียหายรักษาตัวอยู่ที่โรงพยาบาล 10 วันเศษ <discr>แสดงว่า เป็นบาดแผลเพียงเล็กน้อยเท่านั้น </discr>และไม่ได้ความว่าถ้าผู้เสียหายไม่มารับการรักษาที่โรงพยาบาลทันท่วงทีอาจถึงชีวิตได้ <discr>ย่อมแสดงว่าอาวุธปืนที่จำเลยใช้ยิงไม่อาจทำให้ผู้เสียหายถูกยิงถึงตายได้ แม้จะถูกอวัยวะสำคัญของร่างกาย</discr>,ดังนี้ กรณีต้องปรับด้วยประมวลกฎหมายอาญา มาตรา 81,1,1,1,1,-1,1,0,0,1,1,1
256,908/2520,2520,LB,1,"CC-288-00,CC-081-00",ข้อเท็จจริงไม่ได้ความว่าลูกระเบิดที่จำเลยขว้างผู้เสียหายนั้นเป็นลูกระเบิดชนิดร้ายแรงเพียงใดหรือไม่ แต่ปรากฏบาดแผลที่ผู้เสียหายได้รับทั้ง ๆ ที่ผู้เสียหายอยู่ตรงจุดระเบิดนั้นเองว่า มีบาดแผลเพียง 4 แห่งคือ 1. บริเวณกกหูขวา หูขวา และใบหน้าแถบขวา แผลจุดแดงเล็ก ๆ ทั่วบริเวณและผิวหนังแดงพอง 2. บริเวณคอแถบขวาแผลยาว 1.5 เซนติเมตร 2 แห่ง รอบแผลบวมแดง 3. สะบักขวาผิวหนังขาดกว้าง 4 เซนติเมตร ยวา 4 เซนติเมตร ลึก 0.5 เซนติเมตร รอบแผลบวมมาก และบริเวณเดียวกันมีแผลยาว 2 เซนติเมตร 3 แห่ง รอบ ๆ แผลมีจุดแดง ๆ เล็ก ๆ ทั่วไป ผิวหนังพอง 4. เนื้อไหม้เป็นวงขนาดเส้นผ่านศูนย์กลาง 2 นิ้วฟุต ผู้เสียหายรักษาตัวอยู่ที่โรงพยาบาล 1 คืน รุ่งขึ้นแพทย์ก็ให้กลับบ้านได้ เพียงแต่ให้ไปรักษาบาดแผลที่โรงพยาบาลอีกเท่านั้น <discr>ดังนี้ แสดงว่าวัตถุระเบิดนั้นมีกำลังอ่อน ไม่อาจทำให้ผู้เสียหายถึงแก่ความตายได้ แม้จำเลยมีเจตนาฆ่า แต่การกระทำของจำเลยไม่สามารถบรรลุผลได้อย่างแน่แท้ เพราะเหตุปัจจัยซึ่งใช้ในการกระทำผิด</discr>,"การกระทำของจำเลยจึงเป็นความผิดตามประมวลกฎหมายอาญา มาตรา 288,81หาใช่มาตรา 288,80 ไม่",1,1,1,1,-1,1,0,0,1,1,1
257,1480/2520,2520,LB,1,"CC-288-00,CC-081-00",จำเลยเถียงกับผู้เสียหายเรื่องผู้เสียหายสงสัยว่าจำเลยเป็นชู้กับภริยาผู้เสียหาย จำเลยยิงผู้เสียหายด้วยปืนลูกซองสั้น 1 นัดในระยะ 1 วา เป็นแผลเล็กน้อยรักษาในโรงพยาบาล 2 วันก็กลับบ้านได้ <discr>แสดงว่าปืนไม่อาจทำให้ตายได้</discr> ,"เป็นความผิดตาม ประมวลกฎหมายอาญา มาตรา 288,81 ไม่เป็นบันดาลโทสะหรือป้องกัน",1,1,1,1,-1,1,0,0,1,1,1
258,965/2521,2521,P,1,CC-334-00,เอารถของผู้เสียหายไปทิ้งแม่น้ำ ,เป็นการเอาทรัพย์ไปโดยทุจริตเข้าลักษณะความผิดฐานลักทรัพย์แล้ว จำเลยเอารถของกลางไปทิ้งแม่น้ำก็เพื่อซ่อนมิให้ติดตามเอารถคืน ไม่พ้นความผิด,1,1,1,1,-1,-1,0,0,1,0,-1
